Name,Geometry,Address
Wu Tai Shan Temple,"1.3032495,103.7624371",151 West Coast Road
Xie He Gong,"1.2744164,103.8050883",101 Telok Blangah Drive
Xin Ba Da Bo Gong,"1.355874,103.9474697",25 Tampines Street 21
Xuan Ling Gong,"1.3127139,103.8810761",10 Geylang Lorong 24
Yan Kit Village Chinese Temple,"1.3595251,103.9661537",130 Mariam Way
Yu Huang Zhi Zun Temple,"1.3151093,103.8829758",26 Lorong 27a Geylang
Yuan Meng Shih Temple,"1.317934,103.9468141",631 Upper East Coast Road
Yuan Shou Tang,"1.4340997,103.8393834",17 Yishun Avenue 9
Yueh Hai Ching Temple,"1.2846771,103.8470627",30B Phillip Street
Yun Teck Sian Tng Thong Sin Sia,"1.3132747,103.8765925",15B Geylang Lor 13
Zeh Shing Keong Temple,"1.3545754,103.8323313",20 Jalan Keli
Zhao Hui Miao,"1.3151374,103.8548733",390 Race Course Road
Zhong Yi Tian Ming Miao,"1.373187,103.8678998",21 Serangoon North Avenue 3
Chai Chee United Temple,"1.3284894,103.9169324",7 Chai Chee Lane
Zhun Ti Ge,"1.2795311,103.8392561",13 Keong Saik Road
Zi Yun Kai Ji Kong Temple,"1.358809,103.8904363","56 Hougang Ave 3, Singapore 538841"
